id, name,act,debut_date,disband_date,sales_circle, views, circle_streaming_score, billboard global, music_show_awards, yearly_awards, paks
8562,Seong Mihyun,solo,,2004,0,0,0,0,0,0,0
8563,AP,solo,2016-06-04,,0,0,0,0,0,0,0
8564,Young West,solo,2017-07-10,,0,535147,0,0,0,0,0
8565,Lifeis42,group,2014-09-03,2015,0,0,0,0,0,0,0
8566,Kang Susie,solo,1990-04-01,,0,37891,0,0,0,0,0
8567,Effie + The Deep,group,,,0,62582,0,0,0,0,0
8568,Effie,solo,2020-07-19,,0,3592296,0,0,0,0,0
8569,Jackson Wang + Tablo,group,,,0,0,0,0,0,0,0
8570,Close Your Eyes,group,2025-04-02,,950036,90097674,0,0,6,0,0
8571,Re:wind,group,2025-03-28,,0,1006782,0,0,0,0,0
8572,5tion,group,2001-12-27,,0,388668,0,0,0,0,0
8573,Choi Hyun Sang,solo,2015-03-16,,0,50311,0,0,0,0,0
8574,Ifeye,group,2025-04-08,,22257,30543142,0,0,0,0,0
8575,Park Minseok,solo,,,0,0,0,0,0,0,0
8576,Hong Minsung,solo,,,0,0,0,0,0,0,0
8577,Jeon Yeoyeojeong,solo,,,0,0,0,0,0,0,0
8578,Choi Seohyun,solo,,,0,0,0,0,0,0,0
8579,Kim Taeyang,solo,,,0,0,0,0,0,0,0
8580,Jo Yunhu,solo,,,0,0,0,0,0,0,0
8581,Kim Riwoo,solo,,,0,0,0,0,0,0,0
8582,Hyunjun,solo,,,0,0,0,0,0,0,0
8583,Gihyeon,solo,,,0,0,0,0,0,0,0
8584,Junpyo,solo,,,0,0,0,0,0,0,0
8585,Yuseop,solo,,,0,0,0,0,0,0,0
8586,Lin,solo,,,0,0,0,0,0,0,0
8587,Fan,solo,,,0,0,0,0,0,0,0
8588,Miraku,solo,,,0,0,0,0,0,0,0
8589,Ma Jingxiang,solo,,,0,0,0,0,0,0,0
8590,Yeojun,solo,,,0,0,0,0,0,0,0
8591,Kim Sungmin,solo,,,0,0,0,0,0,0,0
8592,Song Seungho,solo,,,0,0,0,0,0,0,0
8593,Sakurada Kenshin,solo,,,0,0,0,0,0,0,0
8594,Seo Kyoungbae,solo,,,0,0,0,0,0,0,0
8595,Won Hwayeon,solo,,,0,0,0,0,0,0,0
8596,Taerin,solo,,,0,0,0,0,0,0,0
8597,Rahee,solo,,,0,0,0,0,0,0,0
8598,Kasia,solo,,,0,0,0,0,0,0,0
8599,Meu,solo,,,0,0,0,0,0,0,0
8600,Sasha,solo,,,0,0,0,0,0,0,0
8601,Kik5o + AleXa,group,2025-04-10,,0,56431,0,0,0,0,0
8602,Elaya,solo,,,0,0,0,0,0,0,0
8603,Lei,solo,,,0,0,0,0,0,0,0
8604,Eddie,solo,,,0,0,0,0,0,0,0
8605,She\'z,group,2012-05-18,2014,2253,1767856,0,0,0,0,0
8606,Jina,solo,,2014,0,0,0,0,0,0,0
8607,Yeoniel,solo,,2014,0,0,0,0,0,0,0
8608,Seyeon,solo,,2014,0,0,0,0,0,0,0
8609,Jiyoung,solo,,2014,0,18119,0,0,0,0,0
8610,THE MIDNIGHT ROMANCE,group,2020-07-17,,0,1226945,0,0,0,0,0
8611,Yang Hye Seung,solo,,2022,0,0,0,0,0,0,0
8612,Park Ji Hwan,solo,,2022,0,0,0,0,0,0,0
8613,Jeong Won Young,solo,,2022,0,0,0,0,0,0,0
8615,THE MIDNIGHT ROMANCE + I\'ll,group,,,0,0,0,0,0,0,0
8616,24/7,group,2009-02-26,2009,0,1190,0,0,0,0,0
8617,Hyeon Woo,solo,,2009,0,0,0,0,0,0,0
8618,Lee Jang Woo,solo,,2009,0,0,0,0,0,0,0
8619,F.CUZ,group,2010-01-08,,3996,4490610,0,0,0,0,0
8620,Jinon,solo,,,0,0,0,0,0,0,0
8621,Daegeon,solo,,,0,0,0,0,0,0,0
8622,Raehyun,solo,,,0,0,0,0,0,0,0
8623,Kan,solo,,,0,0,0,0,0,0,0
8624,Yejun,solo,,,0,0,0,0,0,0,0
8625,Twilight,group,2011-08-03,2012,0,130756,0,0,0,0,0
8626,Kim Nam Joo + Yook Sungjae,group,,,0,7171123,0,0,0,0,0
8627,VIVIDIVA,group,2015-09-15,2016-03,0,306281,0,0,0,0,0
8628,CherryBerry,solo,,2016,0,0,0,0,0,0,0
8629,Ha.L,solo,,2016,0,0,0,0,0,0,0
8630,Sara,solo,,2016,0,0,0,0,0,0,0
8631,A-Min,solo,,2016,0,0,0,0,0,0,0
8632,Kim Hyun Chul + Lee Sora,group,,,0,538114,0,0,0,0,0
8633,VVS,group,2025-04-22,,0,5688303,0,0,0,0,0
8640,Brittney,solo,,,0,0,0,0,0,0,0
8641,Ilee,solo,,,0,0,0,0,0,0,0
8642,Rana,solo,,,0,0,0,0,0,0,0
8643,Jiu,solo,,,0,0,0,0,0,0,0
8644,Liwon,solo,,,0,0,0,0,0,0,0
8645,OSDS,group,2025-04-24,,0,362519,0,0,0,0,0
8646,Mukgang,solo,,,0,0,0,0,0,0,0
8647,Minjeong,solo,,,0,0,0,0,0,0,0
8648,Malsook,solo,,,0,0,0,0,0,0,0
8649,ablume,group,2025-05-09,,0,12871066,0,0,0,0,0
8650,HITGS,group,2025-04-28,,44212,30871975,0,0,0,0,0
8651,VV,solo,,,0,0,0,0,0,0,0
8652,Seojin,solo,,,0,0,0,0,0,0,0
